,listing_id,date,rent,bedrooms,bathrooms,sqft,rent_sqft,fips_block,state,region,mpo_id,lng,lat,cars_tot,children_tot,persons_tot,workers_tot,age_of_head_med,income_med,hhs_tot,race_of_head_1,race_of_head_2,race_of_head_3,race_of_head_4,race_of_head_5,race_of_head_6,race_of_head_7,race_of_head_8,race_of_head_9,recent_mover_0,recent_mover_1,tenure_1,tenure_2
30714,5958432745,2017-01-13,3145.0,2.0,2.0,1077.0,2.92014856081708,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
30742,5960728387,2017-01-15,3120.0,1.0,1.0,1072.0,2.91044776119403,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
30745,5960727816,2017-01-15,3145.0,2.0,2.0,1077.0,2.92014856081708,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
30752,5960713086,2017-01-15,3354.0,3.0,2.0,1366.0,2.4553440702781804,60014419251014,CA,sfbay,6197001.0,-121.967254,37.554768,2380.0,386.0,3247.0,2093.0,35.0,115360.0,1580.0,451.0,25.0,8.0,1.0,2.0,979.0,8.0,6.0,100.0,852.0,728.0,399.0,1181.0
30759,5960710416,2017-01-15,2516.0,2.0,2.0,1014.0,2.48126232741617,60014419251014,CA,sfbay,6197001.0,-121.967254,37.554768,2380.0,386.0,3247.0,2093.0,35.0,115360.0,1580.0,451.0,25.0,8.0,1.0,2.0,979.0,8.0,6.0,100.0,852.0,728.0,399.0,1181.0
30765,5960707984,2017-01-15,2230.0,1.0,1.0,725.0,3.0758620689655203,60014419251014,CA,sfbay,6197001.0,-121.967211,37.554802,2380.0,386.0,3247.0,2093.0,35.0,115360.0,1580.0,451.0,25.0,8.0,1.0,2.0,979.0,8.0,6.0,100.0,852.0,728.0,399.0,1181.0
30912,5949450755,2017-01-13,2390.0,4.0,3.0,2300.0,1.03913043478261,60770052063206,CA,sfbay,6196800.0,-121.5397,37.7695,8222.0,4043.0,11864.0,4902.0,46.0,92000.0,3476.0,1412.0,362.0,47.0,1.0,19.0,839.0,46.0,407.0,343.0,2601.0,875.0,2661.0,815.0
31008,5960384036,2017-01-15,2230.0,1.0,1.0,725.0,3.0758620689655203,60014419251014,CA,sfbay,6197001.0,-121.967211,37.554802,2380.0,386.0,3247.0,2093.0,35.0,115360.0,1580.0,451.0,25.0,8.0,1.0,2.0,979.0,8.0,6.0,100.0,852.0,728.0,399.0,1181.0
31091,5960349316,2017-01-15,2565.0,2.0,1.0,985.0,2.60406091370558,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
31098,5960348576,2017-01-15,2300.0,3.0,2.5,1750.0,1.31428571428571,60770052063145,CA,sfbay,6196800.0,-121.54767,37.773903000000004,8222.0,4043.0,11864.0,4902.0,46.0,92000.0,3476.0,1412.0,362.0,47.0,1.0,19.0,839.0,46.0,407.0,343.0,2601.0,875.0,2661.0,815.0
31180,5983672051,2017-01-31,1975.0,2.0,1.0,900.0,2.19444444444444,60014417002006,CA,sfbay,6197001.0,-122.007873,37.551893,1829.0,867.0,2866.0,1059.0,48.0,85470.0,887.0,357.0,19.0,18.0,1.0,1.0,354.0,15.0,59.0,63.0,790.0,97.0,529.0,358.0
31226,5983661762,2017-01-31,1755.0,1.0,1.0,610.0,2.8770491803278704,60014413024002,CA,sfbay,6197001.0,-122.021627,37.566045,959.0,310.0,1300.0,534.0,51.0,87700.0,456.0,174.0,1.0,3.0,1.0,1.0,247.0,3.0,18.0,8.0,327.0,129.0,290.0,166.0
31253,5983654050,2017-01-31,1865.0,1.0,1.0,610.0,3.05737704918033,60014413024002,CA,sfbay,6197001.0,-122.02171299999999,37.565994,959.0,310.0,1300.0,534.0,51.0,87700.0,456.0,174.0,1.0,3.0,1.0,1.0,247.0,3.0,18.0,8.0,327.0,129.0,290.0,166.0
31397,5983616169,2017-01-31,2176.0,1.0,1.0,640.0,3.4,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
31433,5962121468,2017-01-31,3295.0,3.0,2.0,2004.0,1.6442115768463101,60014426012000,CA,sfbay,6197001.0,-122.001701,37.544618,1833.0,525.0,2215.0,902.0,55.5,79600.0,866.0,572.0,52.0,16.0,2.0,3.0,156.0,9.0,25.0,31.0,786.0,80.0,552.0,314.0
31481,5949910885,2017-01-13,3100.0,4.0,3.0,1550.0,2.0,60014413024002,CA,sfbay,6197001.0,-122.01531899999999,37.563551000000004,959.0,310.0,1300.0,534.0,51.0,87700.0,456.0,174.0,1.0,3.0,1.0,1.0,247.0,3.0,18.0,8.0,327.0,129.0,290.0,166.0
31543,5960000491,2017-01-14,2700.0,3.0,1.5,1168.0,2.3116438356164397,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
31628,5948649990,2017-01-06,3120.0,1.0,1.0,1072.0,2.91044776119403,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
31704,5927225163,2017-01-06,2850.0,5.0,3.0,3414.0,0.8347978910369069,60770052063206,CA,sfbay,6196800.0,-121.5397,37.7695,8222.0,4043.0,11864.0,4902.0,46.0,92000.0,3476.0,1412.0,362.0,47.0,1.0,19.0,839.0,46.0,407.0,343.0,2601.0,875.0,2661.0,815.0
31761,5948614698,2017-01-06,3195.0,3.0,1.0,1107.0,2.88617886178862,60855055002006,CA,sfbay,6197001.0,-121.96456200000002,37.346041,1323.0,438.0,1784.0,847.0,49.0,50510.0,718.0,450.0,37.0,5.0,1.0,2.0,151.0,2.0,48.0,22.0,550.0,168.0,329.0,389.0
31764,5948613177,2017-01-06,2050.0,1.0,1.0,527.0,3.8899430740037997,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
31784,5948598457,2017-01-06,2317.0,2.0,2.0,870.0,2.6632183908046003,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
31805,5948603969,2017-01-06,4040.0,3.0,2.0,1332.0,3.03303303303303,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
31815,5948601277,2017-01-06,2675.0,2.0,1.5,1050.0,2.5476190476190497,60014418001005,CA,sfbay,6197001.0,-121.995997,37.558468,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
31831,5948594958,2017-01-06,3120.0,1.0,1.0,1072.0,2.91044776119403,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
31889,5960454743,2017-01-15,1850.0,1.0,1.0,650.0,2.84615384615385,60014413021006,CA,sfbay,6197001.0,-122.02117199999999,37.572235,1366.0,403.0,1808.0,740.0,54.0,70950.0,598.0,254.0,2.0,8.0,2.0,2.0,255.0,7.0,38.0,30.0,533.0,65.0,468.0,130.0
31924,5960456782,2017-01-15,2450.0,2.0,1.0,1000.0,2.45,60014413021006,CA,sfbay,6197001.0,-122.02117199999999,37.572235,1366.0,403.0,1808.0,740.0,54.0,70950.0,598.0,254.0,2.0,8.0,2.0,2.0,255.0,7.0,38.0,30.0,533.0,65.0,468.0,130.0
31941,5951250746,2017-01-15,2045.0,1.0,1.0,747.0,2.7376171352075,60014417002006,CA,sfbay,6197001.0,-122.00831799999999,37.551264,1829.0,867.0,2866.0,1059.0,48.0,85470.0,887.0,357.0,19.0,18.0,1.0,1.0,354.0,15.0,59.0,63.0,790.0,97.0,529.0,358.0
31973,5960424335,2017-01-15,2960.0,1.0,1.0,702.0,4.2165242165242205,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
32010,5960415682,2017-01-15,2955.0,2.0,2.0,1188.0,2.4873737373737406,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
32082,5948851148,2017-01-06,2249.0,4.0,2.5,2490.0,0.903212851405622,60770052063206,CA,sfbay,6196800.0,-121.5397,37.7695,8222.0,4043.0,11864.0,4902.0,46.0,92000.0,3476.0,1412.0,362.0,47.0,1.0,19.0,839.0,46.0,407.0,343.0,2601.0,875.0,2661.0,815.0
32224,5959643310,2017-01-14,3500.0,3.0,2.0,1375.0,2.54545454545455,60750314003006,CA,sfbay,6197001.0,-122.459106,37.711359,791.0,117.0,1340.0,726.0,54.0,47000.0,478.0,105.0,91.0,2.0,1.0,1.0,151.0,1.0,76.0,50.0,395.0,83.0,169.0,309.0
32267,5959622129,2017-01-14,2851.0,1.0,1.0,1044.0,2.73084291187739,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
32326,5956585791,2017-01-14,2250.0,4.0,2.5,2500.0,0.9,60770052063206,CA,sfbay,6196800.0,-121.5397,37.7695,8222.0,4043.0,11864.0,4902.0,46.0,92000.0,3476.0,1412.0,362.0,47.0,1.0,19.0,839.0,46.0,407.0,343.0,2601.0,875.0,2661.0,815.0
32338,5959604434,2017-01-14,2439.0,2.0,2.0,910.0,2.68021978021978,60014414022010,CA,sfbay,6197001.0,-122.04286,37.576801,1354.0,531.0,1900.0,737.0,49.0,90000.0,629.0,248.0,13.0,5.0,1.0,1.0,311.0,6.0,18.0,26.0,522.0,107.0,429.0,200.0
32343,5959603226,2017-01-14,2500.0,2.0,2.0,796.0,3.1407035175879403,60855050012008,CA,sfbay,6197001.0,-121.956874,37.405038,1429.0,262.0,1646.0,1039.0,47.0,80000.0,767.0,221.0,115.0,13.0,1.0,1.0,355.0,1.0,30.0,30.0,493.0,274.0,282.0,485.0
32440,5949718442,2017-01-07,1796.0,1.0,1.0,625.0,2.8736,60014416023015,CA,sfbay,6197001.0,-122.020572,37.549535999999996,1841.0,883.0,2987.0,1145.0,46.0,65000.0,926.0,353.0,93.0,29.0,1.0,3.0,171.0,14.0,176.0,86.0,654.0,272.0,403.0,523.0
32451,5949715058,2017-01-07,4060.0,3.0,2.0,1332.0,3.0480480480480496,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
32577,5949656047,2017-01-07,2963.0,2.0,2.0,999.0,2.96596596596597,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
32679,5950032584,2017-01-07,3300.0,3.0,2.5,1664.0,1.98317307692308,60133551143061,CA,sfbay,6197001.0,-121.91918799999999,37.775259999999996,5199.0,2023.0,6692.0,3288.0,49.0,149000.0,2204.0,1113.0,48.0,3.0,1.0,1.0,926.0,7.0,39.0,66.0,1884.0,320.0,1886.0,318.0
32687,5950030206,2017-01-07,2450.0,2.0,2.0,1037.0,2.3625843780135,60014417002006,CA,sfbay,6197001.0,-122.00831799999999,37.551264,1829.0,867.0,2866.0,1059.0,48.0,85470.0,887.0,357.0,19.0,18.0,1.0,1.0,354.0,15.0,59.0,63.0,790.0,97.0,529.0,358.0
32696,5950026710,2017-01-07,2795.0,3.0,2.0,1211.0,2.30800990916598,60014417002006,CA,sfbay,6197001.0,-122.00831799999999,37.551264,1829.0,867.0,2866.0,1059.0,48.0,85470.0,887.0,357.0,19.0,18.0,1.0,1.0,354.0,15.0,59.0,63.0,790.0,97.0,529.0,358.0
32708,5950024606,2017-01-07,2045.0,1.0,1.0,747.0,2.7376171352075,60014417002006,CA,sfbay,6197001.0,-122.00831799999999,37.551264,1829.0,867.0,2866.0,1059.0,48.0,85470.0,887.0,357.0,19.0,18.0,1.0,1.0,354.0,15.0,59.0,63.0,790.0,97.0,529.0,358.0
32711,5950024271,2017-01-07,2455.0,2.0,2.0,856.0,2.86799065420561,60855050012008,CA,sfbay,6197001.0,-121.956874,37.405038,1429.0,262.0,1646.0,1039.0,47.0,80000.0,767.0,221.0,115.0,13.0,1.0,1.0,355.0,1.0,30.0,30.0,493.0,274.0,282.0,485.0
32731,5950017549,2017-01-07,3500.0,4.0,2.0,1550.0,2.25806451612903,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
32748,5950014065,2017-01-07,3145.0,2.0,2.0,1077.0,2.92014856081708,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
32767,5950005389,2017-01-07,2420.0,1.0,1.0,740.0,3.27027027027027,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
32786,5949992651,2017-01-07,2216.0,1.0,1.0,671.0,3.3025335320417297,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
32796,5945978173,2017-01-07,3500.0,2.0,2.0,1260.0,2.77777777777778,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
32802,5949994237,2017-01-07,3145.0,2.0,2.0,1077.0,2.92014856081708,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
33018,5950094255,2017-01-07,2278.0,1.0,1.0,739.0,3.08254397834912,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
33123,5950506185,2017-01-08,4500.0,3.0,2.5,1300.0,3.4615384615384603,60855050012016,CA,sfbay,6197001.0,-121.95849,37.403099,1429.0,262.0,1646.0,1039.0,47.0,80000.0,767.0,221.0,115.0,13.0,1.0,1.0,355.0,1.0,30.0,30.0,493.0,274.0,282.0,485.0
33178,5973666712,2017-01-31,2875.0,3.0,2.0,1175.0,2.4468085106383,60014430011009,CA,sfbay,6197001.0,-121.95429299999999,37.520466,2025.0,823.0,2920.0,1250.0,51.0,83000.0,836.0,436.0,26.0,14.0,2.0,1.0,232.0,5.0,86.0,34.0,816.0,20.0,692.0,144.0
33199,5984278363,2017-01-31,2885.0,1.0,1.0,702.0,4.1096866096866105,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
33205,5984301097,2017-01-31,3190.0,2.0,2.0,1072.0,2.97574626865672,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
33214,5984294973,2017-01-31,2520.0,1.0,1.0,740.0,3.40540540540541,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
33227,5984291314,2017-01-31,4045.0,3.0,2.0,1332.0,3.0367867867867897,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
33271,5959819518,2017-01-14,2350.0,2.0,2.0,1010.0,2.32673267326733,60014418001005,CA,sfbay,6197001.0,-121.995997,37.558468,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
33341,5950746924,2017-01-08,2665.0,1.0,1.0,740.0,3.60135135135135,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
33396,5950727396,2017-01-08,2450.0,2.0,2.0,1037.0,2.3625843780135,60014417002006,CA,sfbay,6197001.0,-122.00831799999999,37.551264,1829.0,867.0,2866.0,1059.0,48.0,85470.0,887.0,357.0,19.0,18.0,1.0,1.0,354.0,15.0,59.0,63.0,790.0,97.0,529.0,358.0
33463,5950837941,2017-01-08,2532.0,2.0,2.0,870.0,2.9103448275862096,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
33519,5950805323,2017-01-08,2470.0,1.0,1.0,710.0,3.47887323943662,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
33662,5950882826,2017-01-08,2445.0,1.0,1.0,740.0,3.30405405405405,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
33674,5950877928,2017-01-08,3145.0,2.0,2.0,1077.0,2.92014856081708,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
33688,5950872681,2017-01-08,2951.0,2.0,2.0,1051.0,2.80780209324453,60855050012008,CA,sfbay,6197001.0,-121.956874,37.405038,1429.0,262.0,1646.0,1039.0,47.0,80000.0,767.0,221.0,115.0,13.0,1.0,1.0,355.0,1.0,30.0,30.0,493.0,274.0,282.0,485.0
33742,5951131297,2017-01-08,2995.0,2.0,2.0,1072.0,2.79384328358209,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
33747,5951117686,2017-01-08,2097.0,1.0,1.0,725.0,2.89241379310345,60014419251014,CA,sfbay,6197001.0,-121.967211,37.554802,2380.0,386.0,3247.0,2093.0,35.0,115360.0,1580.0,451.0,25.0,8.0,1.0,2.0,979.0,8.0,6.0,100.0,852.0,728.0,399.0,1181.0
33767,5951119880,2017-01-08,2264.0,1.0,1.0,594.0,3.81144781144781,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
33774,5951112170,2017-01-08,2517.0,2.0,2.0,1061.0,2.37229029217719,60014419251014,CA,sfbay,6197001.0,-121.967254,37.554768,2380.0,386.0,3247.0,2093.0,35.0,115360.0,1580.0,451.0,25.0,8.0,1.0,2.0,979.0,8.0,6.0,100.0,852.0,728.0,399.0,1181.0
33908,5984108737,2017-01-31,3195.0,3.0,1.0,1107.0,2.88617886178862,60855055002006,CA,sfbay,6197001.0,-121.96456200000002,37.346041,1323.0,438.0,1784.0,847.0,49.0,50510.0,718.0,450.0,37.0,5.0,1.0,2.0,151.0,2.0,48.0,22.0,550.0,168.0,329.0,389.0
34206,5941267070,2017-01-08,6300.0,5.0,4.0,4700.0,1.34042553191489,60133551143057,CA,sfbay,6197001.0,-121.914253,37.776685,5199.0,2023.0,6692.0,3288.0,49.0,149000.0,2204.0,1113.0,48.0,3.0,1.0,1.0,926.0,7.0,39.0,66.0,1884.0,320.0,1886.0,318.0
34331,5983553559,2017-02-02,3265.0,2.0,2.0,1223.0,2.66966475878986,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
34360,5986735399,2017-02-02,3050.0,2.0,2.0,1223.0,2.49386753883892,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
34453,5986750806,2017-02-02,2159.0,2.0,2.0,870.0,2.4816091954023,60014419261002,CA,sfbay,6197001.0,-121.97737099999999,37.542636,1389.0,664.0,2276.0,940.0,43.0,57000.0,820.0,249.0,82.0,16.0,1.0,3.0,301.0,7.0,100.0,61.0,535.0,285.0,145.0,675.0
34475,5951726367,2017-01-09,3999.0,3.0,2.5,1700.0,2.3523529411764703,60014419261007,CA,sfbay,6197001.0,-121.97984,37.542771,1389.0,664.0,2276.0,940.0,43.0,57000.0,820.0,249.0,82.0,16.0,1.0,3.0,301.0,7.0,100.0,61.0,535.0,285.0,145.0,675.0
34645,5986697821,2017-02-02,2651.0,1.0,1.0,1001.0,2.64835164835165,60855050093009,CA,sfbay,6197001.0,-121.95382099999999,37.414789,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
34761,5961081285,2017-01-15,3200.0,3.0,2.5,1600.0,2.0,60133551143001,CA,sfbay,6197001.0,-121.921435,37.797857,5199.0,2023.0,6692.0,3288.0,49.0,149000.0,2204.0,1113.0,48.0,3.0,1.0,1.0,926.0,7.0,39.0,66.0,1884.0,320.0,1886.0,318.0
34762,5961079324,2017-01-15,1965.0,1.0,1.0,545.0,3.60550458715596,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
34799,5952110144,2017-01-09,2787.0,2.0,2.0,975.0,2.85846153846154,60855050012008,CA,sfbay,6197001.0,-121.956874,37.405038,1429.0,262.0,1646.0,1039.0,47.0,80000.0,767.0,221.0,115.0,13.0,1.0,1.0,355.0,1.0,30.0,30.0,493.0,274.0,282.0,485.0
34828,5952080972,2017-01-09,2264.0,1.0,1.0,595.0,3.8050420168067207,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
34915,5949409227,2017-01-09,2250.0,2.0,1.0,800.0,2.8125,60855055002011,CA,sfbay,6197001.0,-121.968112,37.342585,1323.0,438.0,1784.0,847.0,49.0,50510.0,718.0,450.0,37.0,5.0,1.0,2.0,151.0,2.0,48.0,22.0,550.0,168.0,329.0,389.0
34975,5952278115,2017-01-09,4012.0,3.0,2.0,1250.0,3.2096,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
34995,5952270246,2017-01-09,2665.0,1.0,1.0,740.0,3.60135135135135,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
35007,5952265788,2017-01-09,2995.0,2.0,2.0,1072.0,2.79384328358209,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
35021,5952250909,2017-01-09,3600.0,3.0,2.0,1375.0,2.61818181818182,60750314003006,CA,sfbay,6197001.0,-122.45906399999998,37.711325,791.0,117.0,1340.0,726.0,54.0,47000.0,478.0,105.0,91.0,2.0,1.0,1.0,151.0,1.0,76.0,50.0,395.0,83.0,169.0,309.0
35130,5942851402,2017-01-09,2539.0,2.0,2.0,910.0,2.79010989010989,60014414022010,CA,sfbay,6197001.0,-122.04286,37.576801,1354.0,531.0,1900.0,737.0,49.0,90000.0,629.0,248.0,13.0,5.0,1.0,1.0,311.0,6.0,18.0,26.0,522.0,107.0,429.0,200.0
35246,5985761614,2017-02-01,3170.0,2.0,2.0,1072.0,2.95708955223881,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
