,listing_id,date,rent,bedrooms,bathrooms,sqft,rent_sqft,fips_block,state,region,mpo_id,lng,lat,cars_tot,children_tot,persons_tot,workers_tot,age_of_head_med,income_med,hhs_tot,race_of_head_1,race_of_head_2,race_of_head_3,race_of_head_4,race_of_head_5,race_of_head_6,race_of_head_7,race_of_head_8,race_of_head_9,recent_mover_0,recent_mover_1,tenure_1,tenure_2
25570,5940288874,2016-12-31,2050.0,1.0,1.0,527.0,3.8899430740037997,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
25608,5940375869,2016-12-31,2500.0,4.0,2.5,2624.0,0.952743902439024,60770052063179,CA,sfbay,6196800.0,-121.53773500000001,37.767204,8222.0,4043.0,11864.0,4902.0,46.0,92000.0,3476.0,1412.0,362.0,47.0,1.0,19.0,839.0,46.0,407.0,343.0,2601.0,875.0,2661.0,815.0
25843,5948674615,2017-01-11,2700.0,3.0,2.0,1600.0,1.6875,60014419243017,CA,sfbay,6197001.0,-121.970472,37.565858,1379.0,437.0,2060.0,953.0,52.0,80000.0,749.0,370.0,10.0,12.0,1.0,4.0,273.0,11.0,13.0,55.0,651.0,98.0,410.0,339.0
25854,5955477580,2017-01-11,2300.0,4.0,2.5,2136.0,1.0767790262172299,60770052063206,CA,sfbay,6196800.0,-121.5397,37.7695,8222.0,4043.0,11864.0,4902.0,46.0,92000.0,3476.0,1412.0,362.0,47.0,1.0,19.0,839.0,46.0,407.0,343.0,2601.0,875.0,2661.0,815.0
25893,5955465994,2017-01-11,2470.0,1.0,1.0,740.0,3.33783783783784,60855050093009,CA,sfbay,6197001.0,-121.95464199999999,37.41276,1998.0,501.0,2616.0,1496.0,39.0,90000.0,1046.0,283.0,104.0,14.0,1.0,2.0,527.0,3.0,63.0,49.0,687.0,359.0,215.0,831.0
25917,5955462488,2017-01-11,2500.0,2.0,2.0,963.0,2.59605399792316,60014414022011,CA,sfbay,6197001.0,-122.04323500000001,37.578681,1354.0,531.0,1900.0,737.0,49.0,90000.0,629.0,248.0,13.0,5.0,1.0,1.0,311.0,6.0,18.0,26.0,522.0,107.0,429.0,200.0
26047,5955420365,2017-01-11,2950.0,3.0,2.0,1300.0,2.26923076923077,60855057003033,CA,sfbay,6197001.0,-121.93743700000002,37.339979,1280.0,447.0,1888.0,854.0,43.0,73800.0,647.0,403.0,88.0,4.0,2.0,7.0,55.0,6.0,42.0,40.0,363.0,284.0,239.0,408.0
26052,5955451814,2017-01-11,2951.0,2.0,2.0,1051.0,2.80780209324453,60855050012008,CA,sfbay,6197001.0,-121.956874,37.405038,1429.0,262.0,1646.0,1039.0,47.0,80000.0,767.0,221.0,115.0,13.0,1.0,1.0,355.0,1.0,30.0,30.0,493.0,274.0,282.0,485.0
26202,5940682544,2017-01-01,2995.0,3.0,2.0,1200.0,2.49583333333333,60014419243015,CA,sfbay,6197001.0,-121.96978600000001,37.567882,1379.0,437.0,2060.0,953.0,52.0,80000.0,749.0,370.0,10.0,12.0,1.0,4.0,273.0,11.0,13.0,55.0,651.0,98.0,410.0,339.0
26355,5929130068,2017-01-01,2400.0,2.0,1.0,860.0,2.7906976744186003,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
26663,5941953613,2017-01-02,1900.0,1.0,1.0,760.0,2.5,60014419261001,CA,sfbay,6197001.0,-121.979616,37.543818,1389.0,664.0,2276.0,940.0,43.0,57000.0,820.0,249.0,82.0,16.0,1.0,3.0,301.0,7.0,100.0,61.0,535.0,285.0,145.0,675.0
26684,5941925034,2017-01-02,4100.0,4.0,3.0,2983.0,1.37445524639625,60133451121041,CA,sfbay,6197001.0,-121.91524,37.741654,2364.0,1142.0,3338.0,1530.0,47.0,136650.0,1138.0,755.0,26.0,1.0,1.0,1.0,303.0,3.0,18.0,30.0,847.0,291.0,736.0,402.0
26711,5942161043,2017-01-02,3175.0,2.0,2.0,1243.0,2.55430410297667,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
26724,5942165996,2017-01-02,2190.0,1.0,1.0,725.0,3.02068965517241,60014419251014,CA,sfbay,6197001.0,-121.969163,37.555474,2380.0,386.0,3247.0,2093.0,35.0,115360.0,1580.0,451.0,25.0,8.0,1.0,2.0,979.0,8.0,6.0,100.0,852.0,728.0,399.0,1181.0
26745,5942136497,2017-01-02,1800.0,2.0,1.0,750.0,2.4,60014416023008,CA,sfbay,6197001.0,-122.02008400000001,37.550121999999995,1841.0,883.0,2987.0,1145.0,46.0,65000.0,926.0,353.0,93.0,29.0,1.0,3.0,171.0,14.0,176.0,86.0,654.0,272.0,403.0,523.0
26764,5942144836,2017-01-02,3005.0,2.0,2.0,1011.0,2.97230464886251,60855050081001,CA,sfbay,6197001.0,-121.9406,37.4087,3560.0,792.0,5139.0,3170.0,33.0,115000.0,2453.0,756.0,52.0,14.0,2.0,4.0,1500.0,8.0,59.0,58.0,1220.0,1233.0,15.0,2438.0
26768,5942143316,2017-01-02,2691.0,2.0,2.0,910.0,2.9571428571428595,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
26867,5981257402,2017-01-29,2459.0,2.0,1.0,985.0,2.49644670050761,60014418001002,CA,sfbay,6197001.0,-121.9999,37.5605,1811.0,569.0,2310.0,1109.0,52.0,60000.0,902.0,419.0,32.0,25.0,3.0,3.0,196.0,13.0,139.0,72.0,843.0,59.0,473.0,429.0
26906,5981242983,2017-01-29,2811.0,2.0,2.0,1051.0,2.6745956232159798,60855050012008,CA,sfbay,6197001.0,-121.956874,37.405038,1429.0,262.0,1646.0,1039.0,47.0,80000.0,767.0,221.0,115.0,13.0,1.0,1.0,355.0,1.0,30.0,30.0,493.0,274.0,282.0,485.0
26931,5981235109,2017-01-29,3500.0,3.0,2.0,1375.0,2.54545454545455,60750314003002,CA,sfbay,6197001.0,-122.45902099999999,37.711427,791.0,117.0,1340.0,726.0,54.0,47000.0,478.0,105.0,91.0,2.0,1.0,1.0,151.0,1.0,76.0,50.0,395.0,83.0,169.0,309.0
26932,5981219247,2017-01-29,3000.0,3.0,2.0,1850.0,1.6216216216216202,60014419243018,CA,sfbay,6197001.0,-121.967983,37.565671,1379.0,437.0,2060.0,953.0,52.0,80000.0,749.0,370.0,10.0,12.0,1.0,4.0,273.0,11.0,13.0,55.0,651.0,98.0,410.0,339.0
